Fiscal Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GOFO,82,74,69,72,76,73,74,71,74,79,83,79,85,93,95,100,101,96,103,103,108,117,123,124,129,129
Col / Capt(N),246,243,261,277,280,293,296,316,319,330,320,325,304,312,320,336,333,335,321,332,333,348,359,368,359,358
Lcol,899,907,893,932,956,1016,1056,1076,1099,1128,1148,1179,1211,1241,1255,1277,1287,1272,1273,1262,1276,1307,1298,1298,1322,1373
Maj,3072,3017,2960,2970,3021,3072,3139,3156,3196,3273,3307,3361,3432,3510,3634,3658,3732,3743,3785,3779,3743,3738,3748,3762,3828,3796
Capt,6507,6251,6059,5888,5777,5782,5768,5813,5909,5924,5866,5850,5785,5911,6147,6469,6748,6893,6830,6776,6635,6531,6495,6625,6569,6690
Lt,817,777,862,988,1037,980,1083,1252,1327,1349,1458,1597,1735,1800,1814,1727,1501,1432,1439,1450,1486,1808,1903,1874,1935,1619
2Lt,392,486,507,540,607,726,870,832,846,885,981,1185,1138,1246,1147,941,932,919,801,879,1009,1005,1164,1403,1261,1491
Ocdt,1269,1338,1414,1369,1308,1420,1506,1555,1523,1593,1852,1803,2013,2038,1952,1875,1747,1639,1608,1513,1646,1817,2010,1916,1795,1803
CWO,619,602,580,583,599,628,642,667,659,660,635,594,589,589,600,588,578,565,543,534,557,558,494,480,471,485
MWO,1773,1735,1653,1629,1692,1734,1770,1781,1806,1888,1921,1978,2015,2067,2106,2167,2171,2103,2070,2057,2045,2045,2097,2075,2047,1980
WO,3915,3806,3648,3581,3589,3591,3641,3668,3700,3680,3717,3698,3678,3822,3923,4034,4105,4152,4067,4035,3956,3918,3928,3900,3861,3801
Sgt,7336,7054,6766,6591,6617,6617,6637,6769,6710,6764,6832,6951,6967,7028,7203,7307,7387,7364,7279,7257,7084,6958,6907,6819,6807,6465
MCpl,9190,8981,8686,8480,8392,8446,8356,8401,8377,8521,8497,8486,8604,8971,8988,9040,9135,9162,9033,9015,8876,8912,8914,8776,8831,8650
Cpl,20796,20201,19786,19282,18344,17723,17112,16475,16268,16880,16949,16090,15665,16203,17087,18230,19123,19564,18853,18268,17830,17523,17208,17241,17287,17317
Pte,4763,5615,5497,5169,5312,7284,9229,9740,9820,10155,10606,11660,12734,13343,11996,10191,8911,7933,8423,9341,9792,10712,10930,11092,9137,9073
Total,61676,61087,59641,58351,57607,59385,61179,61572,61633,63109,64172,64836,65955,68174,68267,67940,67791,67172,66428,66601,66376,67297,67578,67753,65639,65030
